ASIN,Overall_Rating,Review_Count,5Star,4Star,3Star,2Star,1Star
B0DT9DT9T4,,,0,0,0,0,0
B0DW8PNFPH,4.9,16.0,89,11,0,0,0
B0DWX26V8C,4.6,19.0,68,26,6,0,0
B0DQ54KSBJ,4.9,17.0,95,5,0,0,0
B0DRD4GKPP,4.5,28.0,75,10,4,4,7
B0DWWZ1XNZ,4.0,44.0,53,18,11,3,15
B0DT3YX1RJ,,,0,0,0,0,0
B0DR4MCKG3,4.5,30.0,66,20,0,10,4
B0DWF7TS1C,,,0,0,0,0,0
B0DPG1GPHW,,,0,0,0,0,0
B0DWF65PCN,3.3,13.0,49,0,0,0,51
B0DWT1MSXR,,,0,0,0,0,0
B0DWT3DRDR,,,0,0,0,0,0
B0DWT1G3FB,,,0,0,0,0,0
B0DWT2HMZW,,,0,0,0,0,0
B0DWT4BP8K,,,0,0,0,0,0
B0DWT27FH7,,,0,0,0,0,0
B0DWT279DR,,,0,0,0,0,0
B0DWSG9LTY,2.4,6.0,15,0,43,0,42
B0DWT1M1H8,,,0,0,0,0,0
B0DWT4RCJ1,,,0,0,0,0,0
B0DWT2G4YN,,,0,0,0,0,0
B0DWT38D7R,,,0,0,0,0,0
B0DWT3C9S6,,,0,0,0,0,0
B0DWSZWT4B,,,0,0,0,0,0
B0DWT1MZNM,,,0,0,0,0,0
B0DWT4VGN6,,,0,0,0,0,0
B0DWT2NWVN,,,0,0,0,0,0
B0DWT2HTMW,,,0,0,0,0,0
B0DWT1W64R,,,0,0,0,0,0
B0DWT32P81,,,0,0,0,0,0
B0DWT3LNVB,,,0,0,0,0,0
B0DWT1ZYCK,,,0,0,0,0,0
B0DWT341R7,,,0,0,0,0,0
B0DWT1HWF6,,,0,0,0,0,0
B0DWT2GC3P,,,0,0,0,0,0
B0DWT4X181,,,0,0,0,0,0
B0DWT2468H,,,0,0,0,0,0
B0DPPJJ8PL,4.5,55.0,80,6,0,5,9
B0DPFM17XF,,,0,0,0,0,0
B0DRNVVGNF,4.1,26.0,59,20,6,7,8
B0DQNT1WG9,5.0,2.0,100,0,0,0,0
B0DSD1CVLV,4.5,2.0,48,52,0,0,0
B0DSD226YW,4.0,2.0,0,100,0,0,0
B0DSFHSN1J,5.0,2.0,100,0,0,0,0
B0DSGXF78R,,,0,0,0,0,0
B0DSFGB1XR,4.3,97.0,66,15,7,5,7
B0DQ7PYXBZ,,,0,0,0,0,0
B0DSC3KKGQ,,,0,0,100,0,0
B0DNTCQ4RW,4.0,,54,18,14,6,8
B0DRYRXGXD,,,70,30,0,0,0
B0DQ4PWRQL,4.2,18.0,53,29,12,6,0
B0DQPVPKGN,,,0,0,0,0,0
B0DPWXDNV4,,,0,0,0,0,0
B0DS5WC18Z,,,0,0,0,0,0
B0DPX68VK7,,,0,0,0,0,0
B0DNYJ89GF,4.8,8.0,87,13,0,0,0
B0DPZTLVHL,4.8,48.0,90,7,3,0,0
B0DT9ZL2WZ,5.0,1.0,0,0,0,0,0
B0DT45RRM7,,,0,0,0,0,100
B0DR61QT92,,,0,0,0,0,0
B0DQTZ4G5P,5.0,2.0,0,0,0,0,0
B0DQQ14ZRX,5.0,2.0,100,0,0,0,0
B0DRK5VLBC,,,0,0,30,0,70
B0DR46MY47,,,0,0,0,0,0
B0DSG2M1RH,,,0,0,0,0,0
B0DSFDJT81,,,0,0,0,0,0
B0DT8TJ8X9,,,100,0,0,0,0
