ASIN,Weight,Volumn,ProductSizeTier
B0DS2BVQZY,,,Undefined
B0DW77HFH6,12.63,1224.92,Small standard-size
B0DSHY87L8,,,Undefined
B0DLFHX34M,,8403.21,Undefined
B0DVVDFHSV,,,Undefined
B0DVMM91FF,,58.99,Undefined
B0DLX2FMGZ,,567.65,Undefined
B0DT6M7L48,,,Undefined
B0DLXSS1YQ,0.39,46.07,Small standard-size
B0DQPLQ984,,3063.92,Undefined
B0DPQ43HV2,,,Undefined
B0DS1X66QP,,273.81,Undefined
B0DQKGWWB2,,1011.79,Undefined
B0DRPH116B,,767.48,Undefined
B0DSLVCGWF,,2072.43,Undefined
B0DS28M2YC,,27.95,Undefined
B0DLPMGCJW,,1415.84,Undefined
B0DVZ76FTF,,,Undefined
B0DNZH6SY2,5.61,617.14,Small standard-size
B0DVN47KGS,,6292.63,Undefined
B0DS2SYTNP,,1490.76,Undefined
B0DVV9D11C,17.92,589.93,Large standard-size
B0DTPYYT8B,,461.34,Undefined
B0DS21R2GF,,362.41,Undefined
B0DSJNCRF7,1.6,495.71,Small standard-size
B0DBVGSZY6,,4661.88,Undefined
B0DBVFK5X2,,1440.95,Undefined
B0DVLG9XHC,,,Undefined
B0DPG2CV8W,,12.3,Undefined
B0DRNC6K7H,,2438.15,Undefined
B0DSQZC776,19.36,723.56,Large standard-size
B0DTJC6HKF,,,Undefined
B0CPB1B4MC,,,Undefined
B0DRVSJZV3,,114.71,Undefined
B0DQ8FWHMT,,228.95,Undefined
B0DNQDWQ7V,,980.1,Undefined
B0DR6562KP,,,Undefined
B0DS5XT8K8,,,Undefined
B0DS229FTN,,1835.35,Undefined
B0DNJX5Z62,,419.51,Undefined
B0DQ7TGXP3,,245.81,Undefined
B0C42DLRNB,,,Undefined
B0C42FL51V,,838.84,Undefined
B0DHSBGCPW,,4186.18,Undefined
B0DQ7F7DT7,,,Undefined
B0DQ7HQ46F,,,Undefined
B0DTFQGNJH,,1231.18,Undefined
B0DTH54MLF,,,Undefined
B0DNYXZY15,,1579.24,Undefined
B0DPL7VQQV,,7148.74,Undefined
B0DP2H226Y,,740.85,Undefined
B0DQ7WWDMZ,77.28,5951.1,Large standard-size
B0DQG5K7LB,3.2,2929.07,Small standard-size
B0DNPZMMRZ,,1446.91,Undefined
B0DP6Y1NWG,,190.43,Undefined
B0DPN43Z2F,,8474.45,Undefined
B0DNYPN7XR,,14945.0,Undefined
B0DPFMD2BK,,3304.48,Undefined
B0DP5B4381,,2331.22,Undefined
B0DRFZJ4FR,,1301.83,Undefined
B0DPWV2S8S,,147.48,Undefined
B0DQT7GW41,,,Undefined
B0DP42XQMP,,3532.83,Undefined
B0DPM9CYPH,,,Undefined
B0DQCH3QWF,,3097.16,Undefined
B0DT9Q538S,,3.28,Undefined
B0DS5QGHQ6,,32.77,Undefined
B0DQ8FV6C7,,6000.98,Undefined
B0DTKV8F1Z,,,Undefined
B0DSWLSHQR,,0.0,Undefined
B0DLGYQ8K4,,1494.32,Undefined
B0DQP4G1BN,,1415.84,Undefined
B0DSL1M7G5,1.6,147.48,Small standard-size
B0DSKYFNLP,1.6,451.67,Small standard-size
B0DLHRYS69,,163.87,Undefined
B0DR87F1RZ,,762.38,Undefined
B0DSH7NQ9H,11.2,235.97,Small standard-size
B0DSKY2J8B,1.6,100.37,Small standard-size
B0DRFPJQ45,,1415.84,Undefined
B0DRYP9G7L,,,Undefined
B0DN2V9W51,,5745.15,Undefined
B0DDLB5QHP,,2725.1,Undefined
B0DJKV2SYX,,,Undefined
B0DSJCPK7G,,36.33,Undefined
B0DQPK6MM1,,2523.61,Undefined
B0DT6Q1XX5,17.28,1332.46,Large standard-size
B0DQPK98WN,,18390.21,Undefined
B0DK7158G4,,1219.2,Undefined
B0DM8MGLRK,,17800.45,Undefined
B0DNVNMBJ3,,239.99,Undefined
B0DQVSXFJG,,15191.74,Undefined
B0DT9ZT6DX,,0.0,Undefined
B0DTJLDVSJ,,,Undefined
B0DTJGDV7L,,,Undefined
B0DMTSM7HP,36.64,2097.03,Large standard-size
B0DT9H1B1T,,,Undefined
B0DT46M6NQ,,1577.25,Undefined
B0DT933GQB,,399.1,Undefined
B0DT3GH6KG,,3104.37,Undefined
B0DRYNZWL1,,,Undefined
B0DRCBXC91,,1295.57,Undefined
B0DK4MD7NH,,2365.35,Undefined
B0DQSRZ65D,,19.05,Undefined
B0DT9P2C83,,949.79,Undefined
B0DGG9MHHQ,,1420.22,Undefined
B0DTG4DXYR,,9773.97,Undefined
B0DTJG37F6,,419.51,Undefined
B0DT5ZNNTY,,786.58,Undefined
B0DS56YX25,,,Undefined
B0DTH9V9FJ,5.47,0.02,Small standard-size
B0DS1YPJLV,,1834.71,Undefined
B0DQWZQB1P,,6636.76,Undefined
B0DQLDWPTG,,5378.72,Undefined
B0DSFJW4M6,1.13,186.71,Small standard-size
B0DS5GRHHC,,11844.52,Undefined
B0DS8NJK6S,,77.3,Undefined
B0DRXYG7DZ,,576.76,Undefined
B0DTKWC5SH,,419.51,Undefined
B0DTKTTQDF,2.08,705.02,Small standard-size
B0DMVYVDS8,,,Undefined
B0DRTZ3ZP4,,,Undefined
B0DSF2P2SH,,421.18,Undefined
B0DQV9C3H9,,,Undefined
B0DPQZYD7P,,653.17,Undefined
B0DTDCCFFD,,,Undefined
B0DKTD556L,,,Undefined
B0DTF9YNCB,,,Undefined
B0DTG4SJPK,,8364.63,Undefined
B0DQ5SJMMW,,4.92,Undefined
B0DT19586Y,5.29,688.03,Small standard-size
B0DQ5Q5FVW,,,Undefined
B0DTHZZM6M,,182.4,Undefined
B0DPGYQNV9,,,Undefined
B0DLKC11LJ,,39488.73,Undefined
B0DQ3YYCLP,,0.0,Undefined
B0DSBT7WJG,,615.5,Undefined
B0DG8JNNKN,,111.99,Undefined
B0DQJF83J6,,3079.35,Undefined
B0DRJPDY19,,,Undefined
B0DRPH9K13,,1584.7,Undefined
B0CQM3MHQ6,,,Undefined
B0DRNJ96ZC,,,Undefined
B0DNVY1763,,,Undefined
B0DQ5B2XTG,0.35,99.21,Small standard-size
B0DQLJTS5T,,6647.99,Undefined
B0DSP3L772,,3413.82,Undefined
B0DQGBCV1D,,2753.03,Undefined
B0DSPL5CCG,,852.13,Undefined
B0DT7GV9NS,,4528.59,Undefined
B0DRM8GFPY,,2408.9,Undefined
B0DSRWZ63V,,,Undefined
B0DSHRJKMJ,,259.21,Undefined
B0DPP6FF2W,,540.41,Undefined
B0DP1X7C9C,,11363.61,Undefined
B0DNM9YB4M,,,Undefined
B0DRXM7KT7,,910.03,Undefined
B0DMJT41ML,,419.51,Undefined
B0DMJK3KQS,,629.26,Undefined
B0DPYZTPTT,,,Undefined
B0DSW2GKWY,,27007.77,Undefined
B0DQ3WKVPS,,206.72,Undefined
B0DS2R8FG3,,1132.2,Undefined
B0DQLFQMJ6,,109.19,Undefined
B0DT8WN7J7,,,Undefined
B0DM1GPL4S,2.08,49.61,Small standard-size
B0DSMT2WSG,,,Undefined
B0DSWD46XV,,169.64,Undefined
B0DSZJRVX9,,,Undefined
B0DPR1FB8H,,5511.24,Undefined
B0DST1RR8G,,443.11,Undefined
B0DSSZRM5L,,,Undefined
B0DR7TWFQ7,16.64,1751.24,Large standard-size
B0DRG6QP67,,16337.95,Undefined
B0DNTLHG2G,,1415.84,Undefined
B0DRHTSHWM,,507.61,Undefined
B0DRFZN4FL,,1615.92,Undefined
B0DRNDLVF1,,188.11,Undefined
B0DNSKKQN5,,3476.46,Undefined
B0DSG3QYCL,,5650.33,Undefined
B0DJWT5T9Z,8.8,327.74,Small standard-size
B0DJWV8PBR,8.8,327.74,Small standard-size
B0DQCRSGMN,,1445.67,Undefined
B0DPGQ6BKM,,2369.05,Undefined
B0DQDWZG6F,10.44,560.97,Small standard-size
B0DRG1XS12,,,Undefined
B0DRYB8FX9,,236.11,Undefined
B0DPZTXJ9W,,1966.45,Undefined
B0DPFVV9MY,,1396.18,Undefined
B0DG8XJL3X,,,Undefined
B0DMWF3LSL,0.04,0.97,Small standard-size
B0DPYJZQMN,,26411.36,Undefined
B0DSP9QLTY,,53.8,Undefined
B0DRYBCQZP,,2620.29,Undefined
